0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
100,0,0,92.707,101,1.7,Mg,24.305,12,1.31,3,737.7,0,145,72,2,500,12,700,6,,,2.87778,14.20061,1.644857031,101.848072,,,
100,0,0,92.707,101,3,Mg,24.305,12,1.31,3,737.7,0,145,72,2,500,12,700,6,,,2.87764,14.20289,1.64520116,101.8545134,,,
100,0,0,92.707,101,5,Mg,24.305,12,1.31,3,737.7,0,145,72,2,500,12,700,6,,,2.87876,14.21035,1.645424882,101.9873543,,,
100,0,0,92.707,101,,,,,,,,,,,,500,12,700,6,,,2.87771,14.19726,1.644509002,101.8190919,,,
50,20,30,92.028,105,,,,,,,,,,,,,,900,12,,,2.8667,14.2136,1.652724968,101.1577623,,,
50,20,30,92.028,105,0.01,Al,26.982,13,1.61,1,577.5,41.8,118,53,3,,,900,12,,,2.8676,14.2298,1.654089366,101.3366565,,,
80,10,10,92.3555,105,,,,,,,,,,,,450,5,800,15,,,2.8734,14.1956,1.646783137,101.5024581,,,
80,10,10,92.3555,105,,,,,,,,,,,,450,5,800,15,,,2.8733,14.1997,1.647316094,101.5247074,,,
80,10,10,92.3555,105,,,,,,,,,,,,450,5,800,15,,,2.8733,14.1999,1.647339296,101.5261373,,,
80,20,0,91.956,110,,,,,,,,,,,,550,5,780,15,,5,2.8761,14.2129,1.647242215,101.8172344,1.3295,,
80,20,0,91.956,110,0.5,Nb,92.90638,41,1.6,1,652.1,88,146,72,5,550,5,780,15,,5,2.8776,14.2226,1.647507182,101.9930261,1.4632,,
80,20,0,91.956,110,1,Nb,92.90638,41,1.6,1,652.1,88,146,72,5,550,5,780,15,,5,2.8782,14.234,1.648484006,102.1173488,1.5378,,
80,20,0,91.956,110,1.5,Nb,92.90638,41,1.6,1,652.1,88,146,72,5,550,5,780,15,,5,2.8787,14.2443,1.64939035,102.2267512,1.3965,,
80,20,0,91.956,110,,,,,,,,,,,,550,5,780,15,,5,,,,,,,
80,20,0,91.956,110,1,Nb,92.90638,41,1.6,1,652.1,88,146,72,5,550,5,780,15,,5,,,,,,,
100,0,0,92.707,103,,,,,,,,,,,,480,10,700,16,,,2.8775,14.1975,1.64465682,101.805953,1.6799,,
100,0,0,92.707,103,1,Nb,92.90638,41,1.6,1,652.1,88,146,72,5,480,10,700,16,,,2.8803,14.2118,1.644712935,102.106918,1.7039,,
100,0,0,92.707,103,,,,,,,,,,,,480,10,700,16,,,,,,,,,
100,0,0,92.707,103,1,Nb,92.90638,41,1.6,1,652.1,88,146,72,5,480,10,700,16,,,,,,,,,
100,0,0,92.707,103,,,,,,,,,,,,480,10,700,16,,,,,,,,,
100,0,0,92.707,103,1,Nb,92.90638,41,1.6,1,652.1,88,146,72,5,480,10,700,16,,,,,,,,,
90,5,5,92.53125,101,,,,,,,,,,,,,,750,28,,,2.8702,14.1792,1.646714515,101.1595014,,,
90,5,5,92.53125,101,,,,,,,,,,,,,,750,28,,,,,,,,,
